YEAR,QTR,INTDIFF,lrexr,lusprod,lusdisrat,ldisrat,ltot,t
1973,Q1,-4.12,-2.729750525,-7.63701564,-0.203091103,-0.249499396,0.0692584405,1
1973,Q2,-5.03,-2.714499525,-7.662764667,-0.208354147,-0.270587639,0.0289875369,2
1973,Q3,-4.42,-2.677293385,-7.684657991,-0.211150437,-0.293953755,0.0161554402,3
1973,Q4,-2.39,-2.755820999,-7.680525547,-0.222507756,-0.290191484,-0.021841742,4
1974,Q1,-3.95,-2.754249334,-7.693606561,-0.207660918,-0.301816583,-0.172649809,5
1974,Q2,-4.19,-2.769822659,-7.708229544,-0.197851427,-0.296610703,-0.204095356,6
1974,Q3,-5.97,-2.760691112,-7.731319972,-0.189572165,-0.286624431,-0.192499762,7
1974,Q4,-8.49,-2.711355149,-7.720377924,-0.192881233,-0.270477899,-0.152394136,8
1975,Q1,-7.57,-2.667372656,-7.695837531,-0.168988287,-0.271697716,-0.130905571,9
1975,Q2,-6.18,-2.659680293,-7.70774674,-0.166693561,-0.266567346,-0.127085428,10
1975,Q3,-3.38,-2.743328695,-7.71118715,-0.176668949,-0.24937753,-0.09509422,11
1975,Q4,-0.6,-2.727721135,-7.692048685,-0.181023466,-0.24946086,-0.105119523,12
1976,Q1,-1.59,-2.90221207,-7.65950028,-0.185478048,-0.256469079,-0.118073101,13
1976,Q2,-4.86,-2.849949843,-7.683224432,-0.185220357,-0.272342539,-0.200670695,14
1976,Q3,-6.1,-2.860803225,-7.698754984,-0.180452273,-0.291197015,-0.167991731,15
1976,Q4,-9.54,-2.831031267,-7.679028107,-0.180503256,-0.306296881,-0.143100844,16
1977,Q1,-8.7,-2.816069114,-7.656768957,-0.181743598,-0.310419619,-0.135254046,17
1977,Q2,-4.28,-2.798479455,-7.671354277,-0.195314713,-0.282160247,-0.131852131,18
1977,Q3,-4.45,-2.784920862,-7.678711186,-0.203785912,-0.273227656,-0.129211731,19
1977,Q4,-1.62,-2.750693473,-7.680420143,-0.190077376,-0.258118922,-0.11850584,20
1978,Q1,-0.3,-2.718845816,-7.65736724,-0.191127494,-0.268885054,-0.120534069,21
1978,Q2,0.45,-2.71690508,-7.663042259,-0.204804592,-0.279453794,-0.114354853,22
1978,Q3,1.04,-2.679209259,-7.666295065,-0.211624283,-0.294843228,-0.098136038,23
1978,Q4,2.12,-2.678632524,-7.65597357,-0.220612157,-0.290885229,-0.089068828,24
1979,Q1,1.5,-2.675195133,-7.658063453,-0.214910179,-0.280073913,-0.086111692,25
1979,Q2,1.76,-2.664977578,-7.686263194,-0.215570607,-0.264712865,-0.09217046,26
